10004;54.165071;6.346049;0
10007;54.1667;7.45;0
10015;54.174957;7.891954;4
10020;55.010987;8.412538;26.2
10022;54.790294;8.951446;7
10028;54.327918;8.602987;5
10033;54.827321;9.505706;27
10035;54.527509;9.548637;42.5
10037;54.45696;9.520316;21.3
10038;54.314596;9.538997;10
10042;54.640978;10.023753;2
10044;54.499614;10.273687;30.75
10046;54.376109;10.143324;27
10055;54.528379;11.060513;3
10067;54.49366;11.240544;5
10091;54.67916;13.434252;42
10093;54.36426;13.47709;39.5
10097;54.2437;13.9102;12
10113;53.712302;7.151921;11
10124;53.861708;8.126564;32
10126;53.550377;7.667164;8
10129;53.533162;8.576083;7
10130;54.069133;9.010559;3
10131;53.871254;8.705821;5
10136;53.764673;8.658329;25
10139;53.445116;9.139039;10
10142;53.989745;9.569639;21
10146;53.733095;9.877586;13
10147;53.633187;9.988085;11
10150;54.165442;10.351878;26.3
10152;54.08932;10.877335;1
10156;53.802496;10.698806;15.5
10161;54.002806;11.190772;15
10162;53.642521;11.387203;59
10168;53.606015;12.103307;58
10170;54.180279;12.080806;4
10172;53.915597;12.278987;40
10180;54.340582;12.710828;3
10184;54.096736;13.405576;2
10193;53.744431;14.069699;1.2
10200;53.388079;7.228703;-0.27
10210;53.064299;7.902205;5.72
10224;53.045015;8.797904;4.1
10235;52.9604;9.79306;75.6
10238;52.815233;9.924809;70
10246;52.915652;10.188545;73
10249;53.391084;10.687761;45
10253;52.972375;11.137388;17
10261;52.891136;11.729697;21
10264;53.322288;11.931949;81
10267;52.936312;12.409342;40
10268;53.519622;12.665404;72.6
10270;52.903704;12.807205;38
10281;53.5997;13.3039;69
10282;53.317538;13.417466;115.2
10289;53.315317;13.933754;55.9
10291;53.031601;13.99066;54
10304;52.715579;7.317629;19
10305;52.518093;7.308057;22
10306;52.288697;7.386643;40
10309;52.08141;6.940958;45.5
10312;52.317028;8.169344;103.3
10315;52.13437;7.696854;47.8
10321;52.588104;8.342443;39
10325;52.104211;8.75208;134.6
10334;52.46051;9.431127;57
10335;52.281732;9.088939;68
10338;52.464425;9.677917;55
10343;52.595933;10.029573;39
10348;52.291443;10.446456;81.2
10356;52.160135;11.175899;162
10359;52.512914;11.394131;47
10361;52.102889;11.582678;76
10365;52.387515;12.160084;35
10368;52.120651;12.458539;187
10376;52.061419;13.499617;54.6
10379;52.381287;13.062229;81
10381;52.453711;13.301731;51
10382;52.564412;13.308848;36
10384;52.467488;13.402115;48
10385;52.380698;13.530609;46
10393;52.208491;14.117973;98
10394;52.209331;14.128616;101
10396;52.546827;14.545212;12
10400;51.295952;6.768648;36.6
10410;51.404085;6.967741;150
10418;51.245158;7.642497;386.7
10424;51.576347;7.887922;84.8
10427;51.180254;8.489068;839
10430;51.785459;8.838777;157
10433;51.866435;9.270852;258
10435;51.503989;9.111751;235.8
10439;51.119021;9.279907;172
10441;51.283452;9.358959;317
10442;51.964372;9.807151;143.9
10444;51.500331;9.950566;167
10449;51.393291;10.312345;356
10452;51.723361;10.602134;607
10453;51.79862;10.618265;1133.9
10454;51.845421;10.768627;234
10458;51.651998;11.136687;404
10460;51.374461;11.291977;164
10469;51.43479;12.239622;131
10471;51.315067;12.446226;138
10474;51.889183;12.644523;105
10476;51.765723;13.166637;81
10480;51.295965;13.092837;150
10488;51.127955;13.754338;227
10490;51.645104;13.574676;96.8
10495;51.449321;14.253251;115.9
10496;51.775983;14.316811;69
10499;51.162151;14.950565;238
10500;50.959253;6.039191;79.6
10502;50.829376;6.660172;111
10505;50.798281;6.02439;230.99
10506;50.360141;6.869676;485
10513;50.864559;7.157488;92
10516;50.371255;7.579139;84
10519;50.734949;7.193113;159
10520;50.423672;7.420164;75
10526;50.662025;7.960193;546.6
10532;50.601706;8.643902;202.7
10534;50.508441;9.224703;743.3
10537;50.75133;9.02243;350.3
10540;51.000728;10.362107;312.4
10542;50.851917;9.737819;272.2
10544;50.497345;9.942797;921
10548;50.561159;10.377105;450
10552;50.654562;10.769332;937
10554;50.982859;10.960808;316
10557;50.500232;11.134394;845
10564;50.567906;11.804085;501
10565;51.087299;11.929202;246
10567;50.881268;12.128858;311
10569;50.481883;12.130014;386
10574;50.431326;12.611403;897
10577;50.791286;12.871977;418
10578;50.428346;12.953506;1213
10579;50.651004;13.14694;639
10582;50.731376;13.751594;877
10591;50.938331;14.209276;321
10605;50.10966;6.548324;550.9
10609;49.747889;6.658227;265
10613;50.174627;7.059526;477
10615;49.761901;7.054121;480.5
10616;49.946242;7.264522;497
10618;49.692727;7.326355;376
10628;49.985931;7.954853;110.2
10635;50.221815;8.446877;825.6
10637;50.025911;8.521294;99.7
10641;50.090012;8.786189;118.5
10646;50.008254;9.423898;339.5
10648;49.717633;9.099689;453
10655;49.770283;9.957723;268
10658;50.224063;10.079213;281.8
10671;50.306672;10.967958;344.5
10675;49.874176;10.920581;240
10685;50.312236;11.876052;565.1
10686;50.031525;11.974489;622.3
10688;49.666262;12.184464;439.6
10704;49.264019;6.686793;363
10706;49.473764;7.038578;385.9
10708;49.212803;7.107712;320
10724;49.375835;8.121278;553
10729;49.509028;8.554076;96.1
10731;48.972621;8.330074;116.1
10733;49.294233;8.90538;236.6
10736;48.97207;8.873387;244
10738;48.688307;9.223535;371
10739;48.828188;9.200041;314.3
10742;49.207046;9.517492;275.9
10743;49.389533;9.966643;473
10747;48.917079;9.687171;488.7
10756;49.162338;10.366172;475.1
10761;49.011554;10.93081;439.3
10763;49.503031;11.054923;314
10765;49.2164;11.1036;385
10771;49.428333;11.901613;417
10776;49.042357;12.102053;365.4
10777;48.948139;11.428914;536
10782;49.390904;12.683828;498.8
10788;48.827541;12.559776;350
10791;49.113037;13.134204;1436
10796;49.028043;13.238493;615
10803;48.023276;7.834441;236.3
10805;48.364697;7.828016;155
10815;48.453728;8.409057;796.5
10818;48.105371;8.754878;973.4
10827;48.187513;8.993829;920
10836;48.665709;9.864648;733.8
10837;48.217625;9.909652;539
10840;48.441772;9.92161;592.6
10850;48.791799;10.706226;501.9
10852;48.425393;10.942011;461.4
10853;48.709746;11.209617;380
10856;48.184905;10.850732;550
10857;48.077199;10.914394;621
10860;48.711152;11.536237;364
10863;48.402499;11.694555;477.1
10865;48.163142;11.542922;515.2
10868;48.244636;11.552548;484
10869;48.319171;11.944008;459.9
10870;48.347656;11.813275;445.5
10872;48.659626;12.538767;350.4
10873;48.1747;12.10177;630.27
10875;48.279069;12.502379;405.6
10895;48.545146;13.353054;476.4
10908;47.874893;8.003817;1489.6
10929;47.677419;9.190052;442.5
10945;47.795509;10.032433;671.7
10946;47.723259;10.334797;705.2
10948;47.398578;10.275988;806
10954;47.834167;10.866723;756
10961;47.420868;10.984724;2964
10962;47.800864;11.010754;977
10963;47.48305;11.062293;719
10982;47.884339;12.540379;551.2
